Business,Shark,Invested Amount,Category,Entrepreneur Gender,Total Deals,Closed Deals,Percent Closed
Bee Sweet Lemonade,Daymond John,60000,Food and Beverage,Mixed Team,202,115,0.569306931
Noene,Daymond John,100000,Fashion/Beauty,Male,178,93,0.52247191
Spikeball,Daymond John,500000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
The Two Guys Bowtie Company,Daymond John,75000,Fashion/Beauty,Male,178,93,0.52247191
Three Jerks Jerky,Daymond John,100000,Food and Beverage,Male,202,115,0.569306931
X Craft,Daymond John,300000,Software/Tech,Male,63,34,0.53968254
Sock Tabs,Daymond John,50000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Abs Protein Pancakes,Daymond John,120000,Food and Beverage,Mixed Team,202,115,0.569306931
Shefit,Daymond John,250000,Fitness/Sports/Outdoors,Mixed Team,101,60,0.594059406
Combat Flip Flops,Daymond John,100000,Fashion/Beauty,Male,178,93,0.52247191
EVP Extreme Vehicle Protection,Daymond John,50000,Automotive,Male,12,9,0.75
VPCABS,Daymond John,200000,Media/Entertainment,Male,23,14,0.608695652
Angels and Tomboys,Daymond John,30000,Fashion/Beauty,Female,178,93,0.52247191
EcoFlower,Daymond John,400000,Lifestyle/Home,Female,159,98,0.616352201
Line Cutterz,Daymond John,120000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Naturally Perfect Dolls,Daymond John,200000,Children/Education,Mixed Team,102,62,0.607843137
Kooler,Daymond John,50000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
RinseKit,Daymond John,250000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
elephant pants,Daymond John,500000,Fashion/Beauty,Male,178,93,0.52247191
BootyQueen Apparel,Daymond John,250000,Fashion/Beauty,Mixed Team,178,93,0.52247191
SmartGurlz,Daymond John,200000,Software/Tech,Female,63,34,0.53968254
The Cut Buddy,Daymond John,300000,Fashion/Beauty,Male,178,93,0.52247191
Joe's Gourmet Fish Fry,Daymond John,150000,Food and Beverage,Mixed Team,202,115,0.569306931
Boobie Bar,Daymond John,150000,Food and Beverage,Female,202,115,0.569306931
Pandaloon,Daymond John,60000,Pet Products,Female,43,25,0.581395349
Guzzle Buddy,Daymond John,400000,Food and Beverage,Mixed Team,202,115,0.569306931
Cup Board Pro,Daymond John,20000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Moki Doorstep,Daymond John,3000000,Automotive,Mixed Team,12,9,0.75
Twist It Up Combs,Daymond John,112500,Fashion/Beauty,Male,178,93,0.52247191
Pooch Selfie,Daymond John,100000,Pet Products,Male,43,25,0.581395349
The Best Pocket Square Holder,Daymond John,200000,Fashion/Beauty,Male,178,93,0.52247191
Squid Socks,Daymond John,125000,Children/Education,Mixed Team,102,62,0.607843137
Baubles + Soles,Daymond John,150000,Fashion/Beauty,Mixed Team,178,93,0.52247191
Wise Pocket Products,Daymond John,17500,Fashion/Beauty,Female,178,93,0.52247191
Muvez,Daymond John,200000,Fashion/Beauty,Male,178,93,0.52247191
Tanoshi,Daymond John,500000,Software/Tech,Male,63,34,0.53968254
A Perfect Pear,Kevin O'Leary,250000,Food and Beverage,Female,202,115,0.569306931
Classroom Jams,Kevin O'Leary,50000,Children/Education,Male,102,62,0.607843137
Gift Card Rescue,Kevin O'Leary,100000,Software/Tech,Male,63,34,0.53968254
My Therapy Journal,Kevin O'Leary,40000,Health/Wellness,Male,48,28,0.583333333
Soy-Yer-Dough,Kevin O'Leary,100000,Food and Beverage,Male,202,115,0.569306931
Jump Forward,Kevin O'Leary,300000,Children/Education,Male,102,62,0.607843137
Toygaroo,Kevin O'Leary,100000,Children/Education,Female,102,62,0.607843137
Fridge Fronts,Kevin O'Leary,50000,Lifestyle/Home,Female,159,98,0.616352201
Talbott Teas,Kevin O'Leary,250000,Food and Beverage,Male,202,115,0.569306931
UniKey Technologies,Kevin O'Leary,250000,Software/Tech,Male,63,34,0.53968254
Buggy Beds,Kevin O'Leary,50000,Lifestyle/Home,Female,159,98,0.616352201
CateApp,Kevin O'Leary,37500,Software/Tech,Male,63,34,0.53968254
SBU,Kevin O'Leary,150000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Drive Suits,Kevin O'Leary,150000,Uncertain/Other,Male,9,4,0.444444444
Ruck Pack Combat Nutrition,Kevin O'Leary,75000,Fashion/Beauty,Male,178,93,0.52247191
Coffee Joulies,Kevin O'Leary,37500,Food and Beverage,Male,202,115,0.569306931
HDYR Sushi Bars,Kevin O'Leary,1000000,Food and Beverage,Male,202,115,0.569306931
LiddUp Coolers,Kevin O'Leary,100000,Food and Beverage,Male,202,115,0.569306931
Wicked Good Cup Cakes,Kevin O'Leary,75000,Food and Beverage,Female,202,115,0.569306931
Me-Ma's Gumbo Bricks,Kevin O'Leary,100000,Food and Beverage,Female,202,115,0.569306931
Verbalize It App,Kevin O'Leary,250000,Business Services,Male,29,11,0.379310345
Breathometer,Kevin O'Leary,200000,Health/Wellness,Male,48,28,0.583333333
Total Merchant Resources,Kevin O'Leary,200000,Business Services,Mixed Team,29,11,0.379310345
Paparazzi Proposals,Kevin O'Leary,125000,Lifestyle/Home,Male,159,98,0.616352201
Yubo Customized Lunch Boxes,Kevin O'Leary,75000,Children/Education,Mixed Team,102,62,0.607843137
GrooveBook,Kevin O'Leary,75000,Software/Tech,Mixed Team,63,34,0.53968254
Boo Boo Goo,Kevin O'Leary,100000,Health/Wellness,Mixed Team,48,28,0.583333333
Velocity Signs,Kevin O'Leary,75000,Business Services,Male,29,11,0.379310345
Fun Time Express,Kevin O'Leary,62500,Children/Education,Male,102,62,0.607843137
Honeyfund,Kevin O'Leary,400000,Software/Tech,Mixed Team,63,34,0.53968254
Bottle Breacher,Kevin O'Leary,75000,Food and Beverage,Male,202,115,0.569306931
Zipz,Kevin O'Leary,2500000,Food and Beverage,Male,202,115,0.569306931
GreenBox,Kevin O'Leary,300000,Food and Beverage,Mixed Team,202,115,0.569306931
Frill,Kevin O'Leary,50000,Fashion/Beauty,Female,178,93,0.52247191
PittMoss,Kevin O'Leary,200000,Green/CleanTech,Male,11,6,0.545454545
X Craft,Kevin O'Leary,300000,Software/Tech,Male,63,34,0.53968254
Simply Fit Board,Kevin O'Leary,62500,Fitness/Sports/Outdoors,Female,101,60,0.594059406
Sarah Oliver Handbags,Kevin O'Leary,83333,Fashion/Beauty,Female,178,93,0.52247191
geekmytree,Kevin O'Leary,225000,Lifestyle/Home,Male,159,98,0.616352201
Lovepop,Kevin O'Leary,300000,Lifestyle/Home,Male,159,98,0.616352201
Extreme Sandbox,Kevin O'Leary,75000,Children/Education,Male,102,62,0.607843137
PRx,Kevin O'Leary,80000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
IlumiBowl,Kevin O'Leary,100000,Lifestyle/Home,Male,159,98,0.616352201
Innovation Pet,Kevin O'Leary,250000,Pet Products,Mixed Team,43,25,0.581395349
Vengo,Kevin O'Leary,1000000,Food and Beverage,Male,202,115,0.569306931
Petnostics,Kevin O'Leary,150000,Pet Products,Male,43,25,0.581395349
Felt,Kevin O'Leary,225000,Lifestyle/Home,Male,159,98,0.616352201
TekDry,Kevin O'Leary,500000,Software/Tech,Male,63,34,0.53968254
sunscreeenr,Kevin O'Leary,800000,Health/Wellness,Male,48,28,0.583333333
